Category: All categories

Week,covid depression: (Alabama)
2020-03-01,0
2020-03-08,0
2020-03-15,65
2020-03-22,32
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,93
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,31
2020-06-14,32
2020-06-21,32
2020-06-28,0
2020-07-05,0
2020-07-12,33
2020-07-19,0
2020-07-26,0
2020-08-02,100
2020-08-09,66
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,64
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,37
2020-10-18,0
2020-10-25,37
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,36
2020-11-29,0
2020-12-06,69
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,34
2021-01-24,34
2021-01-31,0
2021-02-07,0
2021-02-14,35
2021-02-21,40
