Category: All categories

Week,covid date: (Rhode Island)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,23
2020-03-29,0
2020-04-05,71
2020-04-12,0
2020-04-19,0
2020-04-26,45
2020-05-03,22
2020-05-10,23
2020-05-17,0
2020-05-24,0
2020-05-31,67
2020-06-07,23
2020-06-14,24
2020-06-21,50
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,100
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,25
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,58
2020-10-18,0
2020-10-25,0
2020-11-01,24
2020-11-08,81
2020-11-15,30
2020-11-22,0
2020-11-29,30
2020-12-06,61
2020-12-13,32
2020-12-20,0
2020-12-27,0
2021-01-03,60
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
